data,EUR_RON,inflatie,ROBOR3M
2012-01-01,4.342795000000001,2.801610926282616,5.26
2012-02-01,4.350604761904762,2.6928422515635875,4.79
2012-03-01,4.3651681818181824,2.5211535140735597,4.25
2012-04-01,4.3759999999999994,1.9214273460284703,4.12
2012-05-01,4.4380500000000005,1.9856213625470742,4.69
2012-06-01,4.460255,2.2317596566523656,5.1
2012-07-01,4.548368181818182,3.084079944865614,5.11
2012-08-01,4.516304545454545,3.9937759336099443,5.51
2012-09-01,4.5006900000000005,5.388080388080385,5.47
2012-10-01,4.558330434782609,4.957824066104322,5.46
2012-11-01,4.525495238095238,4.439492629413766,5.64
2012-12-01,4.4895421052631574,4.566444330425856,5.79
2013-01-01,4.379342857142857,5.1268949071708425,5.71
2013-02-01,4.38478,4.838436812722047,5.6
2013-03-01,4.391547619047619,4.446690247599805,5.1
2013-04-01,4.380240909090909,4.410031981147955,4.31
2013-05-01,4.337528571428571,4.380664652567967,3.83
2013-06-01,4.476473684210526,4.46683459277919,4.2
2013-07-01,4.425652173913043,3.409660705331774,4.27
2013-08-01,4.435271428571428,2.626766417290116,3.66
2013-09-01,4.4627380952380955,1.0849909584086825,3.4
2013-10-01,4.446152173913044,1.1809086435952132,2.86
2013-11-01,4.444785714285715,1.2637452814705519,2.44
2013-12-01,4.46326,1.3248282630029529,2.33
2014-01-01,4.521909523809524,1.1827608554763502,1.88
2014-02-01,4.490605,1.2909472325318694,3.29
2014-03-01,4.493138095238095,1.2901144976616763,2.83
2014-04-01,4.461971428571429,1.5960019345478083,2.74
2014-05-01,4.4245190476190475,1.302460202604916,2.62
2014-06-01,4.39514,0.932325992605687,2.24
2014-07-01,4.409730434782609,1.4708259253273015,1.97
2014-08-01,4.424855,1.3445650413089316,1.92
2014-09-01,4.41,1.8539599934948692,2.52
2014-10-01,4.415195652173913,1.7668990111849636,2.4
2014-11-01,4.428895,1.5397082658022532,1.57
2014-12-01,4.459104999999999,1.0330912025827255,1.45
2015-01-01,4.487655,0.4963971176941584,1.34
2015-02-01,4.431985,0.3664170782220699,1.18
2015-03-01,4.432995454545455,0.7642095207769373,1.12
2015-04-01,4.416609523809524,0.6347191367819693,1.19
2015-05-01,4.44687,1.3174603174603172,1.12
2015-06-01,4.468228571428571,-0.907787864309606,1.03
2015-07-01,4.438547826086957,-1.401720293086972,1.06
2015-08-01,4.422995238095238,-1.6783887468030723,1.12
2015-09-01,4.4232272727272735,-1.5168449624780478,1.23
2015-10-01,4.422031818181818,-1.4495062121694824,1.12
2015-11-01,4.444475,-0.9257781324820358,0.88
2015-12-01,4.504009523809524,-0.6870107045854112,0.82
2016-01-01,4.530345,-1.4977692797960462,0.72
2016-02-01,4.4817857142857145,-2.1269841269841328,0.58
2016-03-01,4.465691304347826,-2.417443513983253,0.57
2016-04-01,4.472742857142857,-2.6490066225165587,0.56
2016-05-01,4.499366666666667,-2.9453235155882718,0.55
2016-06-01,4.521766666666666,-0.64288010286081,0.57
2016-07-01,4.48582380952381,-0.3392568659127626,0.6
2016-08-01,4.459363636363637,0.2926353438465368,0.58
2016-09-01,4.450590909090909,-0.14591439688715901,0.53
2016-10-01,4.49422380952381,0.06465168902536345,0.51
2016-11-01,4.510185714285714,-0.22555179635894707,0.58
2016-12-01,4.517329999999999,-0.08043758043757565,0.62
2017-01-01,4.50164,0.33969589129732025,0.62
2017-02-01,4.51202,0.48653908530653656,0.62
2017-03-01,4.548234782608696,0.40479274611398,0.63
2017-04-01,4.529884210526316,0.6478781988985993,0.66
2017-05-01,4.5539499999999995,0.5326876513317202,0.68
2017-06-01,4.571415,0.6632157877709322,0.64
2017-07-01,4.568119047619048,0.8753444642567665,0.66
2017-08-01,4.578418181818182,0.63219322418544,0.68
2017-09-01,4.597795238095238,1.3638577691183595,0.86
2017-10-01,4.588527272727273,1.9544500080762361,1.61
2017-11-01,4.631428571428572,2.5835620862263875,1.8
2017-12-01,4.635938888888889,2.5921751730800136,1.92
2018-01-01,4.6499749999999995,3.4015798807028874,1.8
2018-02-01,4.6554850000000005,3.760490639122027,1.86
2018-03-01,4.66045,3.9993549427511654,1.88
2018-04-01,4.656505263157895,4.248471194077896,2.01
2018-05-01,4.638666666666667,4.608220937700724,2.53
2018-06-01,4.66109,4.74047886871285,2.81
2018-07-01,4.650177272727273,4.354812791258245,3.21
2018-08-01,4.6436636363636365,4.6875,3.15
2018-09-01,4.64657,4.693256447220895,2.97
2018-10-01,4.665108695652174,4.1825095057034245,3.07
2018-11-01,4.661014285714286,3.2268219738706083,3.05
2018-12-01,4.653026315789473,3.0131826741996326,2.88
2019-01-01,4.703675,3.2273152478952127,2.81
2019-02-01,4.74777,3.9819567584383098,3.01
2019-03-01,4.753847619047619,4.2177081718095755,3.0
2019-04-01,4.758274999999999,4.445816610064823,3.2
2019-05-01,4.759463636363637,4.389869531849566,3.12
2019-06-01,4.7252368421052635,3.9275851488186353,3.07
2019-07-01,4.729034782608696,4.126886356636916,2.98
2019-08-01,4.728590476190476,4.046776427142662,2.91
2019-09-01,4.737552380952382,3.5189718482252053,2.9
2019-10-01,4.753830434782609,3.2542579075425904,2.89
2019-11-01,4.768280952380953,3.7511436413540933,2.82
2019-12-01,4.777265,4.052407068860453,2.96
2020-01-01,4.778454999999999,3.8815888838544144,3.01
2020-02-01,4.782815,2.857142857142869,2.92
2020-03-01,4.826259090909091,2.693051629221843,2.7
2020-04-01,4.834155,2.276086313922554,2.36
2020-05-01,4.836378947368421,1.7497426848992692,2.3
2020-06-01,4.83926,2.170062001771478,2.05
2020-07-01,4.837973913043478,2.5140490979000063,2.01
2020-08-01,4.837233333333334,2.4844720496894235,1.88
2020-09-01,4.858604545454546,2.069169376293245,1.85
2020-10-01,4.873331818181819,1.8262150220913043,1.97
2020-11-01,4.86988,1.6460905349794164,1.92
2020-12-01,4.870685,1.8301610541727742,1.89
2021-01-01,4.87277,2.006397208490829,1.55
2021-02-01,4.87408,2.457824316463064,1.4
2021-03-01,4.887727272727273,2.492031295276731,1.54
2021-04-01,4.922061904761905,2.6589595375722697,1.47
2021-05-01,4.924735,3.2369942196531776,1.4
2021-06-01,4.92362,3.46770697876031,1.35
2021-07-01,4.924977272727272,3.7795729948066903,1.36
2021-08-01,4.922666666666667,3.997113997113999,1.4
2021-09-01,4.946454545454546,5.227338546191707,1.48
2021-10-01,4.948085000000001,6.494070002892682,2.01
2021-11-01,4.948795238095238,6.737998843262005,2.39
2021-12-01,4.948886363636364,6.6858375269590375,2.68
2022-01-01,4.94482,7.2405929304447,2.9
2022-02-01,4.945389473684211,7.906316536550739,3.28
2022-03-01,4.9480818181818185,9.57025728018095,4.21
2022-04-01,4.9437,11.683558558558559,4.57
2022-05-01,4.946227272727273,12.416013437849948,5.38
2022-06-01,4.944775,13.028906577293675,6.03
2022-07-01,4.939814285714285,13.024742841256609,6.96
2022-08-01,4.8961,13.320382961010147,7.86
2022-09-01,4.907995454545454,13.43057657905602,7.78
2022-10-01,4.926585714285714,13.472769251663719,7.96
2022-11-01,4.91247,14.589542129504206,7.86
2022-12-01,4.923411111111111,14.123989218328848,7.51
2023-01-01,4.922725,13.437001594896337,7.21
2023-02-01,4.9076900000000006,13.378058405682713,6.93
2023-03-01,4.926260869565217,12.140368984647143,6.74
2023-04-01,4.9364,10.410889841189807,6.64
2023-05-01,4.9473666666666665,9.600298841987298,6.46
2023-06-01,4.95956111111111,9.253768223375358,6.4
2023-07-01,4.941129999999999,8.928791046611728,6.32
2023-08-01,4.940877272727272,9.293498224562269,6.25
2023-09-01,4.965745,9.17141817299525,6.25
2023-10-01,4.968177272727273,8.330341113105932,6.24
2023-11-01,4.970174999999999,6.892067620286091,6.14
2023-12-01,4.970422222222222,7.014643363249884,6.1
2024-01-01,4.97481,7.346221441124801,6.01
2024-02-01,4.974842857142857,7.123796264067761,5.94
2024-03-01,4.970866666666667,6.6958122411412635,5.92
2024-04-01,4.972995454545455,6.244292237442917,5.9
2024-05-01,4.975759999999999,5.771415587366513,5.9
2024-06-01,4.976573684210527,5.348863507859303,5.88
2024-07-01,4.9729090909090905,5.80331940837755,5.7
2024-08-01,4.976533333333333,5.276719695272236,5.48
2024-09-01,4.974333333333333,4.844982775863982,5.4
2024-10-01,4.974752173913044,4.9828748204618245,5.4
2024-11-01,4.97598,5.419155054191549,5.5
2024-12-01,4.974815,5.451335246082545,5.76
